arch,scenario,budget,group,model,n_seeds,h_rel_l2_median_mean,h_rel_l2_median_std,c_rel_l2_median_mean,c_rel_l2_median_std,front_error_mean_cm_mean,front_error_mean_cm_std,bt_mae_hours_mean,bt_mae_hours_std,stop_epoch_mean,train_wallclock_min_mean
DeepONet,iid,high,E1_parity,m1,3,0.2227,0.0116,0.0825,0.0096,5.5046,0.5914,6.3333,1.4920,3500.0000,8.5692
DeepONet,iid,high,E1_parity,m2_data,3,0.2135,0.0180,0.0728,0.0140,5.3775,0.6697,5.7857,0.8374,2166.6667,7.3698
DeepONet,iid,low,orig_baseline,m1,3,0.3331,0.0171,0.1540,0.0112,10.2979,1.6838,10.6973,1.2748,1300.0000,3.3437
DeepONet,iid,low,orig_baseline,m2_data,3,0.2376,0.0029,0.0787,0.0020,5.3177,0.2390,7.3435,1.1020,1200.0000,3.5921
DeepONet,ood_peak,high,E1_parity,m1,3,0.2371,0.0019,0.0940,0.0038,6.3635,0.4208,7.4154,0.7649,3100.0000,7.8742
DeepONet,ood_peak,high,E1_parity,m2_data,3,0.2322,0.0043,0.0801,0.0100,6.3842,0.7213,5.1692,1.0072,2233.3333,7.8396
DeepONet,ood_peak,low,orig_baseline,m1,3,0.3298,0.0629,0.1735,0.0723,8.8876,2.4451,10.8000,1.7439,1500.0000,4.0094
DeepONet,ood_peak,low,orig_baseline,m2_data,3,0.2486,0.0094,0.0849,0.0082,5.5565,0.0510,6.1897,1.1345,1233.3333,3.9195
DeepONet,ood_peak_time,high,E1_parity,m1,3,0.2125,0.0091,0.0734,0.0040,4.9207,0.2409,7.0564,1.8039,3766.6667,9.5507
DeepONet,ood_peak_time,high,E1_parity,m2_data,3,0.2087,0.0027,0.0697,0.0024,4.6515,0.1882,5.5692,0.7582,2166.6667,8.3273
DeepONet,ood_peak_time,low,orig_baseline,m1,3,0.2850,0.0408,0.1258,0.0154,8.4299,1.4058,9.1231,3.6257,1533.3333,9.3174
DeepONet,ood_peak_time,low,orig_baseline,m2_data,3,0.2191,0.0180,0.0749,0.0071,4.8954,0.2918,6.4718,0.8665,1066.6667,5.7160
FNN,iid,high,E1_parity,fnn,3,0.2215,0.0119,0.1017,0.0011,6.4960,0.1332,3.0646,0.0973,4400.0000,26.9439
FNN,iid,low,orig_baseline,fnn,1,0.2049,0.0000,0.0947,0.0000,5.8982,0.0000,2.6327,0.0000,,
FNN,ood_peak,high,E1_parity,fnn,3,0.2109,0.0047,0.1083,0.0084,7.7439,0.4838,2.4853,0.2817,4800.0000,21.2555
FNN,ood_peak,low,orig_baseline,fnn,1,0.2158,0.0000,0.0991,0.0000,7.2109,0.0000,2.1111,0.0000,,
FNN,ood_peak_time,high,E1_parity,fnn,3,0.2258,0.0061,0.1066,0.0040,6.8716,0.0904,2.9385,0.2954,3800.0000,23.4864
GridFNN,ood_peak_time,low,orig_baseline,grid_fnn,3,0.2802,0.0123,0.1357,0.0108,8.7574,0.2721,5.5333,0.4356,,
RegShift,iid,high,orig_regshift,m2_data,3,0.1564,0.0154,0.0609,0.0062,4.0320,0.5873,3.5034,1.5860,2100.0000,23.6035
RegShift,iid,high,regshift_high_fixed,m1,3,0.2078,0.0118,0.0804,0.0110,4.6110,0.3647,5.6122,2.8214,4233.3333,30.0388
RegShift,iid,high,regshift_high_fixed,m2_data,3,0.1898,0.0058,0.0617,0.0019,4.2856,0.0880,4.3776,0.7475,2266.6667,22.7921
RegShift,iid,low,E1_parity,m1,3,0.3710,0.0141,0.2068,0.0284,12.1416,3.1339,11.7653,1.6787,1333.3333,8.9945
RegShift,iid,low,E1_parity,m2_data,3,0.2168,0.0080,0.0768,0.0105,4.6538,0.1549,7.2007,2.0897,1500.0000,28.2042
RegShift,ood_peak,high,orig_regshift,m2_data,3,0.1682,0.0273,0.0677,0.0097,4.3740,0.4686,2.7333,1.4265,2100.0000,23.5253
RegShift,ood_peak,high,regshift_high_fixed,m1,3,0.2231,0.0129,0.0801,0.0109,5.1626,0.4078,5.4615,1.2993,4166.6667,28.7408
RegShift,ood_peak,high,regshift_high_fixed,m2_data,3,0.2154,0.0203,0.0714,0.0066,4.7425,0.5152,5.2564,1.7079,2166.6667,20.1377
RegShift,ood_peak,low,E1_parity,m1,3,0.3815,0.0158,0.1942,0.0421,8.7066,0.4259,10.9179,1.7715,1533.3333,10.6535
RegShift,ood_peak,low,E1_parity,m2_data,3,0.2133,0.0242,0.0767,0.0056,4.7944,0.5972,6.4769,0.5191,1433.3333,26.7582
RegShift,ood_peak_time,high,orig_regshift,m1,3,0.1599,0.0249,0.0712,0.0094,4.4219,0.8474,3.0769,0.8265,4800.0000,40.4240
RegShift,ood_peak_time,high,orig_regshift,m2_data,3,0.1582,0.0194,0.0694,0.0090,4.1248,0.3999,3.0769,0.7961,2100.0000,23.2178
RegShift,ood_peak_time,high,regshift_high_fixed,m1,3,0.1946,0.0145,0.0690,0.0058,4.4795,0.2623,4.4051,1.0791,4933.3333,33.1254
RegShift,ood_peak_time,high,regshift_high_fixed,m2_data,3,0.1950,0.0119,0.0692,0.0078,4.3357,0.4579,4.8931,1.3881,2100.0000,17.5126
RegShift,ood_peak_time,low,E1_parity,m1,3,0.3318,0.0459,0.1656,0.0250,10.9544,1.2679,12.5333,1.9236,1366.6667,9.2483
RegShift,ood_peak_time,low,E1_parity,m2_data,3,0.1906,0.0158,0.0780,0.0071,4.8423,0.5465,7.8410,1.9030,1366.6667,24.0147
Shift(unbounded),iid,high,E1_parity,m1,3,0.1915,0.0501,0.0804,0.0359,5.5996,2.9101,4.6020,2.4922,4233.3333,28.3112
Shift(unbounded),iid,high,E1_parity,m2_data,3,0.1671,0.0205,0.0612,0.0094,3.7407,0.6416,2.7347,0.2814,2633.3333,34.4028
Shift(unbounded),iid,low,orig_baseline,m1,1,0.2422,0.0000,0.1277,0.0000,9.5414,0.0000,10.2449,0.0000,1400.0000,11.6698
Shift(unbounded),iid,low,orig_baseline,m2_data,1,0.1695,0.0000,0.0811,0.0000,5.7778,0.0000,5.2653,0.0000,1500.0000,56.1918
Shift(unbounded),ood_peak,high,E1_parity,m1,3,0.2035,0.0583,0.0878,0.0322,5.0185,1.7330,5.6718,4.3554,3966.6667,27.1659
Shift(unbounded),ood_peak,high,E1_parity,m2_data,3,0.1782,0.0327,0.0698,0.0111,4.5468,0.7854,3.7641,1.6658,2333.3333,25.4036
Shift(unbounded),ood_peak,low,orig_baseline,m1,1,0.2673,0.0000,0.1468,0.0000,7.6492,0.0000,8.3385,0.0000,1400.0000,12.0269
Shift(unbounded),ood_peak,low,orig_baseline,m2_data,1,0.1739,0.0000,0.0608,0.0000,3.9646,0.0000,3.1719,0.0000,1500.0000,57.8771
Shift(unbounded),ood_peak_time,high,E1_parity,m1,3,0.2174,0.0594,0.0961,0.0404,5.8713,2.7183,5.9385,3.7109,4100.0000,17.9151
Shift(unbounded),ood_peak_time,high,E1_parity,m2_data,3,0.1834,0.0281,0.0753,0.0129,4.6706,1.0821,4.1385,0.9689,3133.3333,36.7860
m2_score,iid,low,orig_baseline,m2_score,3,0.2437,0.0071,0.0845,0.0082,5.6318,0.6565,7.9150,1.8966,1200.0000,3.5921
m2_score,ood_peak,low,orig_baseline,m2_score,3,0.2530,0.0125,0.0978,0.0122,6.0806,0.3517,8.3077,1.0350,1233.3333,3.9195
