group,budget,scenario,run,model,seed,h_rel_l2_median,c_rel_l2_median,h_rel_l2_mean,c_rel_l2_mean,front_error_mean_cm,bt_mae_hours,stop_epoch,best_epoch,train_wallclock_min
E1_parity,high,iid,e1_deeponet_highbudget_iid_s123,m1,123,0.2374,0.0950,0.2482,0.1204,6.3304,4.2245,3000,1000,6.6968
E1_parity,high,iid,e1_deeponet_highbudget_iid_s123,m2_data,123,0.2388,0.0924,0.2519,0.1218,6.3233,6.6939,2100,1,5.2837
E1_parity,high,iid,e1_deeponet_highbudget_iid_s42,m1,42,0.2092,0.0715,0.2245,0.0983,4.9767,7.3265,3900,1900,10.7670
E1_parity,high,iid,e1_deeponet_highbudget_iid_s42,m2_data,42,0.1981,0.0602,0.2169,0.0900,4.8630,4.6735,2300,300,11.5848
E1_parity,high,iid,e1_deeponet_highbudget_iid_s456,m1,456,0.2215,0.0809,0.2288,0.1109,5.2066,7.4490,3600,1600,8.2439
E1_parity,high,iid,e1_deeponet_highbudget_iid_s456,m2_data,456,0.2035,0.0659,0.2133,0.0992,4.9461,5.9898,2100,100,5.2408
E1_parity,high,ood_peak,e1_deeponet_highbudget_ood_peak_s123,m1,123,0.2393,0.0901,0.2724,0.1495,6.5822,8.4308,2900,900,7.2633
E1_parity,high,ood_peak,e1_deeponet_highbudget_ood_peak_s123,m2_data,123,0.2271,0.0827,0.2712,0.1366,6.5064,6.5846,2200,200,6.3187
E1_parity,high,ood_peak,e1_deeponet_highbudget_ood_peak_s42,m1,42,0.2375,0.0928,0.2566,0.1323,5.7748,6.5846,3500,1500,8.7682
E1_parity,high,ood_peak,e1_deeponet_highbudget_ood_peak_s42,m2_data,42,0.2318,0.0667,0.2504,0.1170,5.4460,4.6000,2200,200,6.6251
E1_parity,high,ood_peak,e1_deeponet_highbudget_ood_peak_s456,m1,456,0.2346,0.0992,0.2709,0.1421,6.7335,7.2308,2900,900,7.5910
E1_parity,high,ood_peak,e1_deeponet_highbudget_ood_peak_s456,m2_data,456,0.2376,0.0908,0.2742,0.1378,7.2001,4.3231,2300,300,10.5752
E1_parity,high,ood_peak_time,e1_deeponet_highbudget_ood_peak_time_s123,m1,123,0.2009,0.0757,0.2161,0.1055,4.5863,9.2154,3700,1700,8.4566
