scenario,mode,eps_rel,h_rel_l2_mean,theta_rel_l2_mean,theta_gain,dstorage_rel_err_mean_pct,mbe_w_final_mean_pct,mbe_w_final_median_pct,mbe_minus_ref_mean_pct,amplification_mbe_per_h_l2
iid,reference(HYDRUS),0.0,0.0,0.0,,0.0,3.8395,1.0562,0.0,
iid,white,0.005,0.00499,0.00080,0.161,0.0573,3.8504,1.0434,0.0109,0.022
iid,white,0.01,0.00997,0.00160,0.160,0.1167,3.8946,1.0547,0.0552,0.055
iid,white,0.02,0.02002,0.00320,0.160,0.1886,3.8762,0.9999,0.0367,0.018
iid,smooth,0.005,0.00457,0.00081,0.177,0.1556,3.8555,1.0027,0.0160,0.035
iid,smooth,0.01,0.00951,0.00162,0.171,0.4413,4.0825,1.0598,0.2431,0.256
iid,smooth,0.02,0.01886,0.00329,0.174,0.9716,4.2507,1.1765,0.4112,0.218
iid,bias,0.005,0.00500,0.00080,0.160,0.2486,3.8599,1.1118,0.0205,0.041
iid,bias,0.01,0.01000,0.00160,0.160,0.4965,4.0471,1.2268,0.2077,0.208
iid,bias,0.02,0.02000,0.00320,0.160,0.9945,4.0641,1.5602,0.2247,0.112
