scenario,mode,eps_rel,h_rel_l2_mean,theta_rel_l2_mean,theta_gain,dstorage_rel_err_mean_pct,mbe_w_final_mean_pct,mbe_w_final_median_pct,mbe_minus_ref_mean_pct,amplification_mbe_per_h_l2
ood_peak,reference(HYDRUS),0.0,0.0,0.0,,0.0,2.2570,0.7885,0.0,
ood_peak,white,0.005,0.00500,0.00081,0.161,0.0449,2.2435,0.8206,-0.0134,-0.027
ood_peak,white,0.01,0.01000,0.00162,0.162,0.0951,2.2203,0.8188,-0.0366,-0.037
ood_peak,white,0.02,0.01996,0.00323,0.162,0.1919,2.3129,0.8550,0.0559,0.028
ood_peak,smooth,0.005,0.00484,0.00083,0.171,0.2000,2.2400,0.8266,-0.0170,-0.035
ood_peak,smooth,0.01,0.00949,0.00162,0.171,0.4571,2.2097,0.7013,-0.0472,-0.050
ood_peak,smooth,0.02,0.01877,0.00326,0.174,0.6456,2.2378,1.0881,-0.0191,-0.010
ood_peak,bias,0.005,0.00500,0.00081,0.162,0.2648,2.3272,1.0155,0.0702,0.140
ood_peak,bias,0.01,0.01000,0.00162,0.162,0.5305,2.4323,1.3538,0.1754,0.175
ood_peak,bias,0.02,0.02000,0.00324,0.162,1.0587,2.8597,1.6490,0.6027,0.301
