group,x_metric,y_metric,n,spearman_rho,p_perm_two_sided,significant_at_0.05
all,mbe_w_mean_final,c_l2_mean,66,0.5880,0.00005,yes
all,mbe_w_mean_final,h_l2_mean,66,0.6251,0.00005,yes
all,mbe_w_mean_final,front_error_mean_cm,66,0.6254,0.00005,yes
all,mbe_w_median_final,c_l2_median,66,0.6641,0.00005,yes
all,mbe_c_mean_final,c_l2_mean,66,0.3180,0.00990,yes
iid,mbe_w_mean_final,c_l2_mean,24,0.8251,0.00005,yes
iid,mbe_w_mean_final,h_l2_mean,24,0.8146,0.00005,yes
iid,mbe_w_mean_final,front_error_mean_cm,24,0.8642,0.00005,yes
iid,mbe_w_median_final,c_l2_median,24,0.7815,0.00010,yes
iid,mbe_c_mean_final,c_l2_mean,24,0.3446,0.10149,no
ood_peak,mbe_w_mean_final,c_l2_mean,24,0.7651,0.00005,yes
ood_peak,mbe_w_mean_final,h_l2_mean,24,0.8278,0.00005,yes
ood_peak,mbe_w_mean_final,front_error_mean_cm,24,0.7355,0.00015,yes
ood_peak,mbe_w_median_final,c_l2_median,24,0.7312,0.00030,yes
ood_peak,mbe_c_mean_final,c_l2_mean,24,0.3293,0.11289,no
ood_peak_time,mbe_w_mean_final,c_l2_mean,18,0.9174,0.00005,yes
ood_peak_time,mbe_w_mean_final,h_l2_mean,18,0.9257,0.00005,yes
ood_peak_time,mbe_w_mean_final,front_error_mean_cm,18,0.9216,0.00005,yes
ood_peak_time,mbe_w_median_final,c_l2_median,18,0.7709,0.00030,yes
ood_peak_time,mbe_c_mean_final,c_l2_mean,18,0.5005,0.03625,yes
