level,scope,error_cutoff,mbe_threshold_pct,n,n_high_error,n_flagged,flag_rate,high_error_base_rate,precision_high_in_flagged,recall_high_flagged,residual_high_rate_in_passed
run,all,0.2000,5.0,66,17,65,0.9848,0.2576,0.2615,1.0000,0.0000
run,all,0.2000,10.0,66,17,44,0.6667,0.2576,0.3636,0.9412,0.0455
run,all,0.2000,15.0,66,17,30,0.4545,0.2576,0.4333,0.7647,0.1111
run,iid,0.2000,5.0,24,4,24,1.0000,0.1667,0.1667,1.0000,nan
run,iid,0.2000,10.0,24,4,24,1.0000,0.1667,0.1667,1.0000,nan
run,iid,0.2000,15.0,24,4,20,0.8333,0.1667,0.2000,1.0000,0.0000
run,ood_peak,0.2000,5.0,24,6,24,1.0000,0.2500,0.2500,1.0000,nan
run,ood_peak,0.2000,10.0,24,6,14,0.5833,0.2500,0.4286,1.0000,0.0000
run,ood_peak,0.2000,15.0,24,6,7,0.2917,0.2500,0.8571,1.0000,0.0000
run,ood_peak_time,0.2000,5.0,18,7,17,0.9444,0.3889,0.4118,1.0000,0.0000
run,ood_peak_time,0.2000,10.0,18,7,6,0.3333,0.3889,1.0000,0.8571,0.0833
run,ood_peak_time,0.2000,15.0,18,7,3,0.1667,0.3889,1.0000,0.4286,0.2667
