scenario,sigma_scale,sigma_shift,seed,label,model,run_dir,h_rel_l2_mean,h_rel_l2_median,c_rel_l2_mean,c_rel_l2_median
iid,0.1,0.1,42,E2_s010_d010,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_iid_s010_d010_s42,0.214269054684647,0.20678876902852295,0.09701909196279386,0.07288451813928555
iid,0.1,0.1,123,E2_s010_d010,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_iid_s010_d010_s123,0.19847883232830446,0.18039021796168564,0.09022133871635483,0.05976360518481259
iid,0.2,0.15,42,E2_s020_d015,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_iid_s020_d015_s42,0.23465067155645633,0.2204150508263522,0.11567539750176478,0.08252994454078688
iid,0.2,0.15,123,E2_s020_d015,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_iid_s020_d015_s123,0.2183260580304312,0.20141592600280991,0.10174210300393115,0.07396729578087283
iid,0.5,0.3,42,E2_s050_d030,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_iid_s050_d030_s42,0.20035922482020968,0.17974975861043324,0.0944400706390952,0.07181333569422599
iid,0.5,0.3,123,E2_s050_d030,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_iid_s050_d030_s123,0.18236403575560498,0.1632627280666995,0.08016383761877086,0.06237126522563635
ood_peak,0.1,0.1,42,E2_s010_d010,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_s010_d010_s42,0.2660338772264065,0.2340572051561111,0.1071759456366905,0.08322136800159347
ood_peak,0.1,0.1,123,E2_s010_d010,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_s010_d010_s123,0.21733073243649823,0.2111107147640438,0.10696595991567108,0.07650027620940462
ood_peak,0.2,0.15,42,E2_s020_d015,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_s020_d015_s42,0.21657861852344898,0.19077011711952063,0.0931672372192541,0.06307188431196915
ood_peak,0.2,0.15,123,E2_s020_d015,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_s020_d015_s123,0.21521473326567825,0.1884838053466112,0.09419575967308648,0.07099879512143441
ood_peak,0.5,0.3,42,E2_s050_d030,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_s050_d030_s42,0.22327212374740388,0.20572827222973683,0.095907770392034,0.07815305337818719
ood_peak,0.5,0.3,123,E2_s050_d030,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_s050_d030_s123,0.22772760482785415,0.20566825802114777,0.11066833831039682,0.07433843666289952
ood_peak_time,0.1,0.1,42,E2_s010_d010,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_time_s010_d010_s42,0.1840281985376603,0.1678126670635649,0.08116985363131501,0.05643155201670297
ood_peak_time,0.1,0.1,123,E2_s010_d010,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_time_s010_d010_s123,0.17270941377442484,0.1568531269992466,0.0847080523553688,0.05917086960710512
ood_peak_time,0.2,0.15,42,E2_s020_d015,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_time_s020_d015_s42,0.17826651224862058,0.165224973136259,0.09071942518082754,0.06188682108643565
ood_peak_time,0.2,0.15,123,E2_s020_d015,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_time_s020_d015_s123,0.2255256267853809,0.20763168891900682,0.10820964081693252,0.07254890143791871
ood_peak_time,0.5,0.3,42,E2_s050_d030,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_time_s050_d030_s42,0.1779076782058323,0.14828849665798216,0.07457527261743835,0.0612117590314311
ood_peak_time,0.5,0.3,123,E2_s050_d030,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs_revision/E2_ood_peak_time_s050_d030_s123,0.204693656764247,0.17239662199118766,0.11509500891413493,0.0722663761432172
ood_peak_time,0.3,0.2,42,paper_g4_regshift,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs/g4_regshift_ood_time_s42,0.22791022062301636,0.17853626608848572,0.11336458474397659,0.08450627326965332
ood_peak_time,0.3,0.2,123,paper_g4_regshift,m1,/root/autodl-tmp/repo/experiments/qtop_func/runs/g4_regshift_ood_time_s123,0.18024051189422607,0.124690942466259,0.08849213272333145,0.06399574875831604
