scenario,sigma_scale,sigma_shift,label,n_seeds,seeds,c_rel_l2_mean__avg,c_rel_l2_mean__std,c_rel_l2_median__avg,c_rel_l2_median__std,h_rel_l2_mean__avg,h_rel_l2_mean__std,h_rel_l2_median__avg,h_rel_l2_median__std
iid,0.1,0.1,E2_s010_d010,2,42/123,0.09362021533957435,0.004806737417389903,0.06632406166204907,0.009277886525466246,0.20637394350647573,0.011165373304613228,0.1935894934951043,0.018666594472860027
iid,0.2,0.15,E2_s020_d015,2,42/123,0.10870875025284796,0.009852327023687374,0.07824862016082985,0.006054707003053809,0.22648836479344375,0.011543244924502004,0.21091548841458108,0.013434409999336426
iid,0.5,0.3,E2_s050_d030,2,42/123,0.08730195412893302,0.010094821178470647,0.06709230045993117,0.0066765520567809745,0.19136163028790731,0.012724520216315992,0.17150624333856637,0.011658091099103858
ood_peak,0.1,0.1,E2_s010_d010,2,42/123,0.10707095277618078,0.00014848232728517885,0.07986082210549905,0.004752529583233975,0.24168230483145237,0.0344383239460544,0.22258395996007746,0.016225618960662734
ood_peak,0.2,0.15,E2_s020_d015,2,42/123,0.0936814984461703,0.0007272752017075025,0.06703533971670178,0.005605172387233825,0.21589667589456363,0.000964412514530046,0.1896269612330659,0.0016166665585309059
ood_peak,0.5,0.3,E2_s050_d030,2,42/123,0.10328805435121541,0.01043729766923895,0.07624574502054335,0.0026973413470074647,0.22549986428762903,0.0031505008854347503,0.20569826512544231,4.243645386086814e-05
ood_peak_time,0.1,0.1,E2_s010_d010,2,42/123,0.0829389529933419,0.002501884310964019,0.05780121081190404,0.001936990043996953,0.17836880615604256,0.008003589460874774,0.16233289703140574,0.007749565098165115
ood_peak_time,0.2,0.15,E2_s020_d015,2,42/123,0.09946453299888003,0.012367450080704815,0.06721786126217719,0.0075392293180895215,0.20189606951700073,0.03341724036181497,0.1864283310276329,0.029986076297831576
ood_peak_time,0.3,0.2,paper_g4_regshift,2,42/123,0.10092835873365402,0.017587479488535226,0.07425101101398468,0.01450313096765949,0.20407536625862122,0.03370757429931517,0.15161360427737236,0.038074393468460706
ood_peak_time,0.5,0.3,E2_s050_d030,2,42/123,0.09483514076578664,0.028651780307284838,0.06673906758732415,0.007816794723164796,0.19130066748503965,0.01894054707937249,0.1603425593245849,0.017047018904804805
