run,width,modes_z,modes_t,lr,padding,h_rel_l2_mean,h_rel_l2_median,c_rel_l2_mean,c_rel_l2_median,h_r2_median,c_r2_median,best_epoch,best_val_loss,training_time_min,model_params_M,front_error_mean_cm,rank
e3_fno_search_fno_w32_m32x16_lr1e-3_p8,32,32,16,1e-3,8,0.33391,0.29409,0.189644,0.111658,0.82706,0.946978,1100,0.3937525192896525,7.5,4.2,8.86,1
e3_fno_search_fno_w32_m48x24_lr1e-3_p8,32,48,24,1e-3,8,0.327938,0.283708,0.192535,0.110934,0.826888,0.941029,700,0.40085573480242775,7.0,9.45,8.78,2
e3_fno_search_fno_w32_m48x24_lr5e-4_p8,32,48,24,5e-4,8,0.341534,0.296086,0.202539,0.114064,0.795635,0.945138,1300,0.40567054180871875,9.3,9.45,9.26,3
e3_fno_search_fno_w32_m32x16_lr5e-4_p8,32,32,16,5e-4,8,0.366112,0.341724,0.20312,0.122423,0.776424,0.923523,2000,0.4651212794440133,7.9,4.2,9.25,4
e3_fno_search_fno_w32_m16x10_lr5e-4_p8,32,16,10,5e-4,8,0.372572,0.312995,0.203197,0.127443,0.787347,0.916656,2000,0.39439781052725653,7.4,1.32,9.68,5
e3_fno_search_fno_w128_m32x16_lr1e-3_p8,128,32,16,1e-3,8,0.344401,0.300478,0.204322,0.124685,0.824409,0.939928,600,0.40792636530739923,35.3,67.2,9.39,6
e3_fno_search_fno_w32_m16x10_lr1e-3_p8,32,16,10,1e-3,8,0.363665,0.313062,0.20604,0.120051,0.783506,0.937267,1300,0.38844089621589295,7.4,1.32,9.46,7
e3_fno_search_fno_w64_m48x24_lr5e-4_p8,64,48,24,5e-4,8,0.373564,0.323094,0.206167,0.126082,0.777781,0.925962,2000,0.505500518708002,24.6,37.78,10.03,8
e3_fno_search_fno_w64_m48x24_lr1e-3_p8,64,48,24,1e-3,8,0.372496,0.318346,0.210702,0.12913,0.783223,0.925565,1100,0.45240686393919444,23.3,37.78,9.8,9
e3_fno_search_fno_w128_m16x10_lr1e-3_p8,128,16,10,1e-3,8,0.349412,0.304697,0.215468,0.128339,0.817887,0.923678,700,0.41225221497671943,28.8,21.06,9.79,10
e3_fno_search_fno_w64_m32x16_lr5e-4_p8,64,32,16,5e-4,8,0.392855,0.339317,0.218313,0.140881,0.740157,0.914067,600,0.4451959905170259,13.7,16.81,10.18,11
e3_fno_search_fno_w128_m16x10_lr5e-4_p8,128,16,10,5e-4,8,0.365966,0.315847,0.21925,0.134819,0.804668,0.911842,800,0.4184266817002069,31.7,21.06,9.82,12
e3_fno_search_fno_w64_m32x16_lr1e-3_p8,64,32,16,1e-3,8,0.384873,0.325851,0.220079,0.144595,0.773179,0.909986,300,0.4461268243335542,10.7,16.81,9.95,13
e3_fno_search_fno_w64_m16x10_lr1e-3_p8,64,16,10,1e-3,8,0.363477,0.325935,0.220691,0.136655,0.800443,0.920051,400,0.3989720424016317,12.5,5.27,9.53,14
e3_fno_search_fno_w128_m48x24_lr1e-3_p8,128,48,24,1e-3,8,0.373887,0.31647,0.224741,0.136062,0.778925,0.932934,200,0.4525629997253418,35.0,151.09,10.22,15
e3_fno_search_fno_w128_m48x24_lr5e-4_p8,128,48,24,5e-4,8,0.381212,0.306904,0.225448,0.140033,0.790448,0.919153,400,0.47602955273219516,42.1,151.09,10.09,16
e3_fno_search_fno_w128_m32x16_lr5e-4_p8,128,32,16,5e-4,8,0.370459,0.305745,0.227213,0.145608,0.789037,0.906386,1100,0.44948690845852807,47.5,67.2,10.31,17
e3_fno_search_fno_w64_m16x10_lr5e-4_p8,64,16,10,5e-4,8,0.388657,0.357645,0.228002,0.161876,0.72724,0.902816,1500,0.46783254998070856,27.3,5.27,11.05,18
e3_fno_search_fno_w32_m48x24_lr1e-3_p0,32,48,24,1e-3,0,0.610759,0.568006,0.328829,0.291752,0.426328,0.585175,1800,0.8568684464409237,7.6,9.45,17.15,19
e3_fno_search_fno_w64_m48x24_lr1e-3_p0,64,48,24,1e-3,0,0.58889,0.552646,0.33043,0.282332,0.403766,0.657526,1900,0.8217482532773699,18.3,37.78,17.96,20
e3_fno_search_fno_w32_m48x24_lr5e-4_p0,32,48,24,5e-4,0,0.592146,0.56924,0.335142,0.277926,0.380221,0.651974,2000,0.8544905730656215,7.4,9.45,17.27,21
e3_fno_search_fno_w32_m16x10_lr5e-4_p0,32,16,10,5e-4,0,0.621478,0.589237,0.344645,0.28015,0.375525,0.629595,1100,0.9292349542890276,5.6,1.32,17.85,22
e3_fno_search_fno_w64_m32x16_lr1e-3_p0,64,32,16,1e-3,0,0.61697,0.566993,0.346434,0.290488,0.351899,0.600918,2000,0.9331320626395089,13.3,16.81,17.17,23
e3_fno_search_fno_w32_m32x16_lr5e-4_p0,32,32,16,5e-4,0,0.60069,0.5792,0.349646,0.302475,0.363366,0.612846,700,0.9596826428458805,4.7,4.2,16.77,24
e3_fno_search_fno_w128_m48x24_lr1e-3_p0,128,48,24,1e-3,0,0.620627,0.577643,0.351894,0.29233,0.339086,0.571544,1900,0.8638302348908924,57.4,151.09,18.4,25
e3_fno_search_fno_w128_m16x10_lr5e-4_p0,128,16,10,5e-4,0,0.6001,0.55624,0.352482,0.292713,0.369689,0.600028,2000,0.88308888957614,26.1,21.06,17.13,26
e3_fno_search_fno_w64_m48x24_lr5e-4_p0,64,48,24,5e-4,0,0.590418,0.555025,0.360363,0.287232,0.420056,0.593277,1900,0.9145537841887701,18.3,37.78,16.36,27
e3_fno_search_fno_w64_m16x10_lr5e-4_p0,64,16,10,5e-4,0,0.612465,0.58498,0.366383,0.275052,0.40717,0.615661,1400,0.9428620077314831,10.8,5.27,17.27,28
e3_fno_search_fno_w64_m16x10_lr1e-3_p0,64,16,10,1e-3,0,0.605624,0.572281,0.369955,0.328725,0.401996,0.520497,2000,0.9678163971219744,10.8,5.27,17.48,29
e3_fno_search_fno_w128_m48x24_lr5e-4_p0,128,48,24,5e-4,0,0.606765,0.562869,0.374691,0.296176,0.395028,0.619353,2000,0.8856806334995088,57.4,151.09,17.76,30
e3_fno_search_fno_w128_m32x16_lr1e-3_p0,128,32,16,1e-3,0,0.604243,0.600178,0.375198,0.290926,0.344224,0.55902,1700,0.9206672918228876,37.0,67.2,17.37,31
