scene,variable,n_removed,n_retained,ks_D,p_perm,median_removed,median_retained
iid,q_top_peak,98,851,0.0983,0.3593,4.5270,4.4198
iid,q_top_peak_time,98,851,0.0761,0.4143,23.5000,28.0000
iid,K_s,98,851,0.3200,0.0005,0.7849,3.2132
iid,n_vg,98,851,0.4776,0.0005,1.3898,1.9868
iid,alpha,98,851,0.2485,0.0005,0.0148,0.0288
ood_peak,q_top_peak,97,825,0.0931,0.4273,4.5149,4.4203
ood_peak,q_top_peak_time,97,825,0.0680,0.5462,28.0000,28.0000
ood_peak,K_s,97,825,0.3179,0.0005,0.7449,3.2868
ood_peak,n_vg,97,825,0.4719,0.0005,1.3926,1.9801
ood_peak,alpha,97,825,0.2434,0.0005,0.0149,0.0286
ood_peak_time,q_top_peak,100,828,0.0697,0.7446,4.4225,4.4295
ood_peak_time,q_top_peak_time,100,828,0.1173,0.0780,19.0000,19.0000
ood_peak_time,K_s,100,828,0.3392,0.0005,0.6925,3.0373
ood_peak_time,n_vg,100,828,0.4452,0.0005,1.4322,1.9763
ood_peak_time,alpha,100,828,0.2426,0.0005,0.0148,0.0278
