run_key,scenario,family,axis,bin,n_samples
iid_baseline,iid,deeponet_baseline,q_top_peak,p00_p90,96
iid_baseline,iid,deeponet_baseline,q_top_peak,p90_p95,9
iid_baseline,iid,deeponet_baseline,q_top_peak,p95_p98,4
iid_baseline,iid,deeponet_baseline,q_top_peak,p98_p100,3
iid_baseline,iid,deeponet_baseline,q_top_peak_time,p00_p90,83
iid_baseline,iid,deeponet_baseline,q_top_peak_time,p90_p95,0
iid_baseline,iid,deeponet_baseline,q_top_peak_time,p95_p98,0
iid_baseline,iid,deeponet_baseline,q_top_peak_time,p98_p100,29
ood_peak_baseline,ood_peak,deeponet_baseline,q_top_peak,p00_p90,0
ood_peak_baseline,ood_peak,deeponet_baseline,q_top_peak,p90_p95,36
ood_peak_baseline,ood_peak,deeponet_baseline,q_top_peak,p95_p98,25
ood_peak_baseline,ood_peak,deeponet_baseline,q_top_peak,p98_p100,14
ood_peak_baseline,ood_peak,deeponet_baseline,q_top_peak_time,p00_p90,53
ood_peak_baseline,ood_peak,deeponet_baseline,q_top_peak_time,p90_p95,0
ood_peak_baseline,ood_peak,deeponet_baseline,q_top_peak_time,p95_p98,0
ood_peak_baseline,ood_peak,deeponet_baseline,q_top_peak_time,p98_p100,22
ood_peaktime_baseline,ood_peak_time,deeponet_baseline,q_top_peak,p00_p90,68
ood_peaktime_baseline,ood_peak_time,deeponet_baseline,q_top_peak,p90_p95,2
ood_peaktime_baseline,ood_peak_time,deeponet_baseline,q_top_peak,p95_p98,4
ood_peaktime_baseline,ood_peak_time,deeponet_baseline,q_top_peak,p98_p100,2
ood_peaktime_baseline,ood_peak_time,deeponet_baseline,q_top_peak_time,p00_p90,0
ood_peaktime_baseline,ood_peak_time,deeponet_baseline,q_top_peak_time,p90_p95,0
ood_peaktime_baseline,ood_peak_time,deeponet_baseline,q_top_peak_time,p95_p98,0
ood_peaktime_baseline,ood_peak_time,deeponet_baseline,q_top_peak_time,p98_p100,76
shift_iid,iid,shift_unbounded,q_top_peak,p00_p90,96
shift_iid,iid,shift_unbounded,q_top_peak,p90_p95,9
shift_iid,iid,shift_unbounded,q_top_peak,p95_p98,4
shift_iid,iid,shift_unbounded,q_top_peak,p98_p100,3
shift_iid,iid,shift_unbounded,q_top_peak_time,p00_p90,83
shift_iid,iid,shift_unbounded,q_top_peak_time,p90_p95,0
shift_iid,iid,shift_unbounded,q_top_peak_time,p95_p98,0
shift_iid,iid,shift_unbounded,q_top_peak_time,p98_p100,29
shift_ood_peak,ood_peak,shift_unbounded,q_top_peak,p00_p90,0
shift_ood_peak,ood_peak,shift_unbounded,q_top_peak,p90_p95,36
shift_ood_peak,ood_peak,shift_unbounded,q_top_peak,p95_p98,25
shift_ood_peak,ood_peak,shift_unbounded,q_top_peak,p98_p100,14
shift_ood_peak,ood_peak,shift_unbounded,q_top_peak_time,p00_p90,53
shift_ood_peak,ood_peak,shift_unbounded,q_top_peak_time,p90_p95,0
shift_ood_peak,ood_peak,shift_unbounded,q_top_peak_time,p95_p98,0
