run_key,scenario,family,model,axis,bin,n,rel_l2_h_mean,rel_l2_h_median,rel_l2_c_mean,rel_l2_c_median,bt_mae_hours,n_bt
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,peak_5.5,29,0.308422675165715,0.24090464848606274,0.20246707523425012,0.15605814679096489,2.8,25
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,peak_6.5,27,0.3155723203094712,0.2672620682814318,0.16369744067885503,0.1100099867159141,2.3333333333333335,24
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fnn,q_top_peak,peak_8.0,22,0.3943542142177524,0.3848671988936416,0.32865574229313416,0.23743120709292576,8.333333333333334,18
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fno,q_top_peak,peak_5.5,29,0.7110204830081337,0.6470528855870944,0.8270713051485938,0.5377345100919848,8.44,25
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fno,q_top_peak,peak_6.5,27,0.6506776730527074,0.5706561855674035,0.5904911290966804,0.40265561695920554,9.5,24
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,fno,q_top_peak,peak_8.0,22,0.5512057434271147,0.5537571332618865,0.9776705838846156,0.6103889266850009,13.833333333333334,18
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m1,q_top_peak,peak_5.5,29,0.5158843473215808,0.5180148359036312,0.35494529093720184,0.3081479364439752,11.36,25
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m1,q_top_peak,peak_6.5,27,0.4687557197098129,0.42147738855991324,0.3199338882573861,0.279046035246108,12.375,24
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m1,q_top_peak,peak_8.0,22,0.5392875330796025,0.4763617804570353,0.5336568868997474,0.3462348893887358,18.444444444444443,18
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,peak_5.5,29,0.38816283958096476,0.3583311556455107,0.26583361476165224,0.23362740601317125,11.16,25
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,peak_6.5,27,0.39822064885667185,0.3281910145266262,0.27599727774040567,0.18138800544161207,14.416666666666666,24
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak,peak_8.0,22,0.45546490774187026,0.36807701642591306,0.4519038548693075,0.2833082366701065,19.833333333333332,18
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak,peak_5.5,29,0.4074803123098174,0.374822881785204,0.3042185455162215,0.30369557967251987,12.96,25
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak,peak_6.5,27,0.4412810495975244,0.3382752620633645,0.2930427573160545,0.2764547335626102,15.833333333333334,24
e6e8_eval__E6_extreme_peak_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak,peak_8.0,22,0.5421631709914784,0.4322660833670601,0.5341647406643873,0.3365973897034658,19.38888888888889,18
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,fnn,q_top_peak_time,peaktime_44h,7,0.2129022595148699,0.1656771282100857,0.1817646487596612,0.16929655222184858,3.6666666666666665,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,fnn,q_top_peak_time,peaktime_45h,8,0.3022103621213634,0.2176322903656095,0.19797057831629938,0.13070829404590845,4.333333333333333,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,fnn,q_top_peak_time,peaktime_46h,7,0.20754264991847796,0.17159335135834733,0.13539760731128708,0.1315868281239165,1.7142857142857142,7
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,fnn,q_top_peak_time,peaktime_47h,7,0.41886236497923246,0.30035161706270946,0.15036489261919975,0.11671296410999489,4.333333333333333,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,fno,q_top_peak_time,peaktime_44h,7,0.6022206339416811,0.5947984358766715,0.5044211442569851,0.4361453753813245,18.333333333333332,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,fno,q_top_peak_time,peaktime_45h,8,0.508738633521318,0.5294571670885369,0.8622232023028898,0.6878809793449938,14.5,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,fno,q_top_peak_time,peaktime_46h,7,0.45625960928076104,0.5071929604893167,1.00239574209286,0.5304620702022604,13.428571428571429,7
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,fno,q_top_peak_time,peaktime_47h,7,0.6868651096584248,0.7174223866068492,1.4656615850417403,0.49804719605830094,12.0,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m1,q_top_peak_time,peaktime_44h,7,0.8162008665185778,0.5596567714691089,0.517598789134238,0.41232515582113355,22.5,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m1,q_top_peak_time,peaktime_45h,8,0.5955032382406307,0.5372018317500074,0.5210590298028237,0.519025999875667,14.833333333333334,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m1,q_top_peak_time,peaktime_46h,7,0.4010573583408185,0.3775542884562629,0.3326613843928205,0.3017347667284498,13.285714285714286,7
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m1,q_top_peak_time,peaktime_47h,7,0.5537194930386499,0.5887066836498841,0.4296665613996487,0.25406848645515295,10.833333333333334,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak_time,peaktime_44h,7,0.6858289162648882,0.5795660974869489,0.36231889031310444,0.24019442221788417,20.666666666666668,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak_time,peaktime_45h,8,0.4859477066822051,0.3732419727437403,0.4079213901200138,0.43557973895176993,12.166666666666666,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak_time,peaktime_46h,7,0.2857226085470013,0.281291818384741,0.19181556670601094,0.17640180706088807,12.428571428571429,7
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_data,q_top_peak_time,peaktime_47h,7,0.33158546698847047,0.25333965171717865,0.2780041349891576,0.1951886173711779,14.166666666666666,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak_time,peaktime_44h,7,0.8064859971367083,0.4381272865908023,0.40563768003267375,0.27038366529420443,22.5,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak_time,peaktime_45h,8,0.49000701906206606,0.3746686492112774,0.40710643121877016,0.4086795417459069,14.0,6
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak_time,peaktime_46h,7,0.31423838007490473,0.2748067252245723,0.20784776261059618,0.1729711659130537,14.714285714285714,7
e6e8_eval__E6_extreme_peaktime_v1__iid_baseline,iid,deeponet_baseline,m2_score,q_top_peak_time,peaktime_47h,7,0.360178637048045,0.3021019021584161,0.3311462761625325,0.19295452040769864,13.0,6
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fnn,joint_forcing_x_Ks,joint_Ks0.15,9,0.5110515870272481,0.49920460857009324,0.9916223916201533,0.9617381492359779,,0
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fnn,joint_forcing_x_Ks,joint_Ks40,15,0.2202628432450889,0.1621224946389469,0.0933686549235821,0.0644591811006266,1.2666666666666666,15
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fno,joint_forcing_x_Ks,joint_Ks0.15,9,0.5646747915536503,0.6148830089908274,3.0109944744679287,1.7279118409281498,,0
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fno,joint_forcing_x_Ks,joint_Ks40,15,0.5499345005675871,0.5078349132473444,0.543542560195174,0.39766377128985525,3.7333333333333334,15
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks0.15,9,0.44659873084855367,0.4420823963487572,1.116801662227467,1.0379133589189942,,0
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks40,15,0.388462625534094,0.35125456091947205,0.24754904233895692,0.22138724165462412,5.466666666666667,15
e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks0.15,9,0.40193917076986074,0.3846849645342428,1.0190565781664342,0.9406781613993619,,0
