sample_id,theta_r,theta_s,alpha,n_vg,K_s,D_L,q_top_00,q_top_01,q_top_02,q_top_03,q_top_04,q_top_05,q_top_06,q_top_07,q_top_08,q_top_09,q_top_10,q_top_11,q_top_12,q_top_13,q_top_14,q_top_15,q_top_16,q_top_17,q_top_18,q_top_19,q_top_20,q_top_21,q_top_22,q_top_23,q_top_24,q_top_25,q_top_26,q_top_27,q_top_28,q_top_29,q_top_30,q_top_31,q_top_32,q_top_33,q_top_34,q_top_35,q_top_36,q_top_37,q_top_38,q_top_39,q_top_40,q_top_41,q_top_42,q_top_43,q_top_44,q_top_45,q_top_46,q_top_47,c_top,q_top_mean,q_top_peak,q_top_std,q_top_total,q_top_peak_time,split,split_mode,is_ood,ood_parameter,ood_quantile,ood_tail,severity_group,target_value
0,0.0917832259411,0.410561695762,0.0573263503149,2.49934232688,0.252150560749,5.91878714069,3.11822399839,3.31670533186,3.51518666533,3.71366799879,3.91214933226,4.11063066573,4.3091119992,4.50759333266,4.70607466613,4.9045559996,5.10303733307,5.30151866653,5.5,1.73229463144,1.58313068525,1.43396673907,1.28480279288,1.13563884669,0.986474900504,0.837310954317,0.688147008129,0.538983061942,0.389819115755,0.240655169567,0.462309022408,0.683962875248,0.905616728088,1.12727058093,1.34892443377,1.57057828661,1.79223213945,2.01388599229,2.23553984513,2.45719369797,2.67884755081,2.90050140365,3.12215525649,3.34380910933,3.56546296217,3.78711681501,4.00877066785,4.2304245207,4.45207837354,3.91849107736,3.38490378118,2.851316485,2.31772918882,1.78414189264,0.783798612582,2.66276963712,5.5,1.4971843749,127.812942582,12,test,ood,True,q_top_peak,,high,peak_5.5,5.5
1,0.0722185885586,0.507161283707,0.074899859957,2.18469340765,0.462421997216,19.4654958383,0.493616576579,0.852705705649,1.21179483472,1.57088396379,1.92997309286,2.28906222193,2.648151351,3.00724048007,3.36334898292,3.71945748576,4.07556598861,4.43167449146,4.78778299431,5.14389149715,5.5,4.78736593509,4.07473187017,3.36209780526,2.64946374034,1.93682967543,2.96416312602,3.01526016992,3.06635721382,3.11745425773,3.16855130163,3.21964834553,3.27074538943,3.32184243333,3.37293947723,3.42403652114,3.47513356504,3.52623060894,3.57732765284,3.62842469674,3.67952174065,3.73061878455,3.78171582845,3.83281287235,3.88390991625,3.93500696015,3.98610400406,4.03720104796,4.08829809186,4.13939513576,4.19049217966,4.24158922357,4.29268626747,4.34378331137,0.311972913777,3.41972685034,5.5,1.01887180589,164.146888817,14,test,ood,True,q_top_peak,,high,peak_5.5,5.5
2,0.0883653331147,0.38419413608,0.00930812525277,1.44724243601,2.04865919069,5.30211210326,4.53288150646,4.34877141285,4.16466131924,3.98055122563,3.79644113203,3.61233103842,3.42822094481,3.2441108512,3.06000075759,2.87589066399,2.69178057038,2.50767047677,2.32356038316,2.13945028955,1.95534019595,1.77123010234,1.58712000873,1.40300991512,1.21889982151,1.48646858267,1.75403734383,2.02160610498,2.28917486614,2.55674362729,2.82431238845,3.0918811496,3.35944991076,3.62701867191,3.89458743307,4.16215619422,4.42972495538,4.69729371653,4.96486247769,5.23243123884,5.5,4.18988999688,2.87977999376,1.56966999064,1.58703815913,1.60440632761,1.62177449609,1.63914266457,1.65651083305,1.45572100291,1.25493117277,1.05414134263,0.853351512485,0.652561682342,0.48510742962,2.76151230108,5.5,1.27008368223,132.552590452,34,test,ood,True,q_top_peak,,high,peak_5.5,5.5
3,0.076394208872,0.478060913628,0.141002815293,2.3361612111,0.322588989257,13.7992884409,0.583726787911,0.555520279845,0.527313771779,0.499107263713,0.470900755647,0.442694247581,0.414487739515,0.386281231449,0.358074723383,0.329868215317,0.301661707251,0.273455199185,0.245248691119,0.217042183053,0.188835674987,2.13843489401,4.08803411304,3.88461564293,3.68119717281,3.4777787027,3.27436023258,3.07094176247,2.86752329235,2.66410482224,2.46068635212,2.25726788201,2.05384941189,1.85043094178,1.64701247166,1.44359400155,1.24017553143,1.03675706131,0.8333385912,0.629920121085,0.426501650969,1.27208470914,2.11766776731,2.96325082548,3.80883388366,4.65441694183,5.5,5.31608868758,5.13217737516,4.94826606273,4.76435475031,4.58044343789,4.39653212547,4.21262081305,0.519538526795,2.17682251049,5.5,1.71466787209,104.487480503,40,test,ood,True,q_top_peak,,high,peak_5.5,5.5
4,0.0564311637164,0.36407305672,0.047049435794,1.2235348337,1.31557921685,7.37809249774,1.5327776428,1.71310593177,1.89343422073,2.07376250969,2.25409079866,2.43441908762,2.61474737658,2.79507566555,2.97540395451,3.15573224347,3.33606053244,3.5163888214,3.69671711036,3.87704539933,4.05737368829,4.23770197726,4.41803026622,4.59835855518,4.77868684415,4.95901513311,5.13934342207,5.31967171104,5.5,4.47594398541,3.45188797083,3.82229042346,4.34074592185,4.85920142023,4.85160205155,4.84400268287,4.83640331419,4.82880394551,4.82120457683,4.81360520815,4.80600583946,4.79840647078,4.7908071021,4.78320773342,4.77560836474,4.76800899606,4.76040962738,4.7528102587,4.74521089001,4.73761152133,4.73001215265,4.72241278397,4.71481341529,4.70721404661,0.128265092855,4.11281611658,5.5,1.03357827467,197.415173596,22,test,ood,True,q_top_peak,,high,peak_5.5,5.5
5,0.0639647894151,0.442383804034,0.115530328093,2.20722121361,0.448987177915,14.4742245241,4.93942266561,4.14105156529,3.34268046497,2.54430936465,1.74593826433,0.947567164007,0.908359030186,0.869150896366,0.829942762546,0.790734628725,0.751526494905,0.712318361085,0.673110227265,0.633902093444,0.594693959624,0.555485825804,0.516277691984,0.477069558163,0.437861424343,2.96893071217,5.5,5.33923790511,5.17847581023,5.01771371534,4.85695162045,4.69618952557,4.61035594468,4.52452236379,4.4386887829,4.35285520201,4.26702162112,4.18118804023,4.09535445934,4.00952087846,3.92368729757,3.83785371668,3.75202013579,3.6661865549,3.58035297401,3.49451939312,3.40868581223,3.32285223135,3.23701865046,3.15118506957,3.06535148868,2.97951790779,2.8936843269,2.80785074601,0.952792230852,2.94935781937,5.5,1.6212712332,141.56917533,20,test,ood,True,q_top_peak,,high,peak_5.5,5.5
6,0.0837771732933,0.408323223188,0.0181588906747,1.12961374458,2.58839980173,8.81470717822,2.44921304747,2.64917545562,2.84913786378,3.04910027193,3.24906268009,3.44902508824,3.6489874964,3.84894990455,4.04891231271,3.39716558962,2.74541886653,2.09367214344,1.44192542036,1.639891919,1.83785841765,2.03582491629,2.23379141494,2.43175791359,2.62972441223,2.82769091088,3.02565740952,3.22362390817,3.42159040682,3.61955690546,3.81752340411,4.01548990275,4.2134564014,4.41142290004,4.60938939869,4.80735589734,4.8766203076,4.94588471787,5.01514912814,5.0844135384,5.15367794867,5.22294235893,5.2922067692,5.36147117947,5.43073558973,5.5,5.36153418025,5.22306836051,5.08460254076,4.94613672101,4.80767090127,4.66920508152,4.53073926178,4.39227344203,0.283934870191,3.84624342931,5.5,1.17406866623,184.619684607,39,test,ood,True,q_top_peak,,high,peak_5.5,5.5
7,0.0651953560192,0.428700562125,0.0136721653921,1.49140086444,4.50589819512,8.03870849393,4.04515867685,3.39721253128,2.7492663857,2.10132024013,1.45337409456,0.805427948989,0.157481803417,0.249618997008,0.341756190599,0.433893384191,0.526030577782,0.618167771373,0.710304964965,0.802442158556,0.894579352147,0.986716545739,1.07885373933,1.17099093292,2.03679274634,2.90259455975,3.76839637317,4.63419818658,5.5,5.31890201982,5.13780403964,4.95670605946,4.77560807928,4.5945100991,4.41341211892,4.23231413873,4.05121615855,3.87011817837,3.68902019819,3.50792221801,3.32682423783,3.14572625765,2.96462827747,2.78353029729,2.60243231711,2.42133433693,2.24023635675,2.05913837656,1.87804039638,2.31639419542,2.75474799446,3.1931017935,3.63145559253,4.06980939157,0.86804267503,2.69373981856,5.5,1.53459688704,129.299511291,22,test,ood,True,q_top_peak,,high,peak_5.5,5.5
8,0.0592322268066,0.43925003156,0.0642169457973,2.03604421103,6.7848424145,14.9665122244,3.5687873939,3.69753490097,3.82628240805,3.95502991512,4.08377742219,4.21252492927,4.34127243634,4.47001994341,4.59876745049,4.72751495756,4.85626246463,4.98500997171,5.11375747878,5.24250498585,5.37125249293,5.5,5.04915282766,4.59830565531,4.14745848297,3.69661131063,3.24576413829,2.79491696594,2.3440697936,1.89322262126,1.44237544892,0.991528276573,1.24439316094,1.4972580453,1.75012292967,2.00298781404,2.2558526984,2.50871758277,2.76158246713,3.0144473515,3.26731223586,3.52017712023,3.7730420046,4.02590688896,4.27877177333,4.53163665769,4.78450154206,3.27044681684,1.75639209162,2.33707430607,2.91775652051,3.49843873496,4.0791209494,4.65980316385,0.908000167815,3.55186349017,5.5,1.20416608919,170.489447528,15,test,ood,True,q_top_peak,,high,peak_5.5,5.5
9,0.0858061755627,0.367949054911,0.0198949664344,1.83184367719,9.35236825443,15.1628045869,1.53371497063,2.50311023253,3.47250549443,4.44190075633,4.24504100282,4.0481812493,3.85132149579,3.65446174227,3.45760198876,3.26074223525,3.06388248173,2.86702272822,2.84582524874,2.82462776925,2.80343028977,2.78223281029,2.76103533081,2.73983785133,2.71864037184,2.69744289236,2.67624541288,2.6550479334,2.63385045391,2.61265297443,2.59145549495,2.57025801547,2.54906053599,2.5278630565,2.50666557702,2.48546809754,2.46427061806,2.44307313858,2.42187565909,2.40067817961,2.37948070013,2.35828322065,2.33708574117,2.31588826168,2.95271060935,3.58953295701,4.22635530467,4.86317765234,5.5,5.01908580984,4.53817161967,4.05725742951,3.57634323934,3.09542904918,0.879809863806,3.10249636843,5.5,0.829128151602,148.919825684,42,test,ood,True,q_top_peak,,high,peak_5.5,5.5
