part,run_key,scenario,family,model,axis,severity_bin,severity_rank,n,rel_l2_h_mean,rel_l2_h_median,rel_l2_c_mean,rel_l2_c_median,bt_mae_hours
B,e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fnn,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.5110515870272481,0.49920460857009324,0.9916223916201533,0.9617381492359779,
B,e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fnn,joint_forcing_x_Ks,joint_Ks40,2,15,0.2202628432450889,0.1621224946389469,0.0933686549235821,0.0644591811006266,1.2666666666666666
B,e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fno,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.5646747915536503,0.6148830089908274,3.0109944744679287,1.7279118409281498,
B,e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,fno,joint_forcing_x_Ks,joint_Ks40,2,15,0.5499345005675871,0.5078349132473444,0.543542560195174,0.39766377128985525,3.7333333333333334
B,e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.44659873084855367,0.4420823963487572,1.116801662227467,1.0379133589189942,
B,e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks40,2,15,0.388462625534094,0.35125456091947205,0.24754904233895692,0.22138724165462412,5.466666666666667
B,e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.5020792990390688,0.5174221286000176,1.076287892657424,0.8981163924099994,
B,e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks40,2,15,0.24680172305099116,0.2169280858847165,0.12514096314047143,0.1021416355770422,2.8
B,e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.3396119925082607,0.3571694760253449,0.8784942295733873,0.7303399112518777,
B,e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m1,joint_forcing_x_Ks,joint_Ks40,2,15,0.29989566359543945,0.2714331361253971,0.12936409523038753,0.12172490390722082,4.533333333333333
B,e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.40193917076986074,0.3846849645342428,1.0190565781664342,0.9406781613993619,
B,e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.27149766691805827,0.23934791037177802,0.12417690175769011,0.11129760609190247,4.8
B,e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.5305628644806505,0.5248417486425466,0.9261616316979945,0.9131308427948499,
B,e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.23192995399050134,0.1750212602606754,0.11347411587824265,0.07916812301815951,2.2666666666666666
B,e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.360931340078247,0.3691215599939049,0.7648213449106726,0.6132641172720719,
B,e6e8_eval__E8_joint_shift_v1__ood_peaktime_baseline,ood_peak_time,deeponet_baseline,m2_data,joint_forcing_x_Ks,joint_Ks40,2,15,0.2901988015739085,0.2688198322907062,0.12038787902638327,0.10444022410927647,4.2
B,e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.4057271085288947,0.3870492762948571,0.9126596854073722,0.6901127130671724,
B,e6e8_eval__E8_joint_shift_v1__iid_baseline,iid,deeponet_baseline,m2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.3001120924589632,0.25811416219930344,0.15474667338324502,0.13245260722050697,6.666666666666667
B,e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,joint_forcing_x_Ks,joint_Ks0.15,1,9,0.5305628644806505,0.5248417486425466,0.9261616316979945,0.9131308427948499,
B,e6e8_eval__E8_joint_shift_v1__ood_peak_baseline,ood_peak,deeponet_baseline,m2_score,joint_forcing_x_Ks,joint_Ks40,2,15,0.23192995399050134,0.1750212602606754,0.11347411587824265,0.07916812301815951,2.2666666666666666
