scenario,family,model,axis,n_bins,slope_rel_l2_c_per_rank,spearman_rank_corr,strictly_nondecreasing,rel_l2_c_by_rank
iid,deeponet_baseline,fnn,joint_forcing_x_Ks,2,-0.8982537366965707,-0.9999999999999999,False,1:0.9916;2:0.0934
iid,deeponet_baseline,fnn,q_top_peak,7,0.024813961446803902,0.8928571428571429,False,0:0.1459;1:0.1145;2:0.1544;3:0.1504;4:0.2025;5:0.1637;6:0.3287
iid,deeponet_baseline,fnn,q_top_peak_time,6,0.0011648418694157347,-0.028571428571428574,False,0:0.1512;3:0.1227;4:0.1818;5:0.1980;6:0.1354;7:0.1504
iid,deeponet_baseline,fno,joint_forcing_x_Ks,2,-2.4674519142727545,-0.9999999999999999,False,1:3.0110;2:0.5435
iid,deeponet_baseline,fno,q_top_peak,7,0.038468374524094046,0.42857142857142866,False,0:0.6602;1:0.5630;2:0.7572;3:0.6449;4:0.8271;5:0.5905;6:0.9777
iid,deeponet_baseline,fno,q_top_peak_time,6,0.1013961663701294,0.7714285714285715,False,0:0.6586;3:0.6466;4:0.5044;5:0.8622;6:1.0024;7:1.4657
iid,deeponet_baseline,m1,joint_forcing_x_Ks,2,-0.8692526198885099,-0.9999999999999999,False,1:1.1168;2:0.2475
iid,deeponet_baseline,m1,q_top_peak,7,0.04938298528364761,0.7142857142857144,False,0:0.1993;1:0.1920;2:0.2311;3:0.1838;4:0.3549;5:0.3199;6:0.5337
iid,deeponet_baseline,m1,q_top_peak_time,6,0.03598763139231682,0.48571428571428577,False,0:0.2017;3:0.1930;4:0.5176;5:0.5211;6:0.3327;7:0.4297
iid,deeponet_baseline,m2_data,joint_forcing_x_Ks,2,-0.8948796764087438,-0.9999999999999999,False,1:1.0191;2:0.1242
iid,deeponet_baseline,m2_data,q_top_peak,7,0.05327297490351856,0.9285714285714288,False,0:0.1104;1:0.1009;2:0.1488;3:0.1131;4:0.2658;5:0.2760;6:0.4519
iid,deeponet_baseline,m2_data,q_top_peak_time,6,0.026778916117263084,0.48571428571428577,False,0:0.1120;3:0.1085;4:0.3623;5:0.4079;6:0.1918;7:0.2780
iid,deeponet_baseline,m2_score,joint_forcing_x_Ks,2,-0.7579130120241268,-0.9999999999999999,False,1:0.9127;2:0.1547
iid,deeponet_baseline,m2_score,q_top_peak,7,0.061848730309623866,0.8928571428571429,False,0:0.1218;1:0.1175;2:0.1605;3:0.1220;4:0.3042;5:0.2930;6:0.5342
iid,deeponet_baseline,m2_score,q_top_peak_time,6,0.03032312768609687,0.48571428571428577,False,0:0.1237;3:0.1203;4:0.4056;5:0.4071;6:0.2078;7:0.3311
iid,regshift_bounded,m1,joint_forcing_x_Ks,2,-0.6466232841218593,-0.9999999999999999,False,1:0.8087;2:0.1620
iid,regshift_bounded,m1,q_top_peak,7,0.03347625801999996,0.7857142857142859,False,0:0.1066;1:0.0891;2:0.1346;3:0.0957;4:0.2703;5:0.2045;6:0.2969
iid,regshift_bounded,m1,q_top_peak_time,6,0.012696904317343945,0.4285714285714286,False,0:0.1113;3:0.0906;4:0.2637;5:0.2276;6:0.1571;7:0.1860
