group,scenario,n,total_epochs_mean,total_epochs_sd,stage2_best_data_epoch_mean,stage2_best_data_epoch_sd,best_val_loss_mean,best_val_loss_sd,wall_minutes_mean,wall_minutes_sd
"Bounded RegShift, high",IID,3,6500.0,458.257569495584,266.6666666666667,152.75252316519467,0.09606331338485082,0.010791703881991993,52.83088102738063,7.589405883128201
"Bounded RegShift, high",OOD peak,3,6333.333333333333,321.4550253664318,133.66666666666666,152.31655633362163,0.11927395810683568,0.027386144563754666,48.878500901328195,3.1316296822100083
"Bounded RegShift, high",OOD peak-time,3,7033.333333333333,115.47005383792515,67.0,57.15767664977295,0.0936406006415685,0.006551869554078013,50.63803642325931,0.7663559246087528
"Bounded RegShift, low",IID,2,2850.0,70.71067811865476,700.0,0.0,0.1040085069835186,0.006309283123315623,37.31114238301913,0.48650470541959345
"Bounded RegShift, low",OOD peak,3,2966.6666666666665,288.6751345948129,633.3333333333334,115.47005383792515,0.15181532998879751,0.02405763735990831,37.411653871006436,1.0084262866389486
"Bounded RegShift, low",OOD peak-time,3,2733.3333333333335,208.16659994661327,566.6666666666666,152.75252316519467,0.11197425921758015,0.014497434295349035,33.26293376551734,5.290119955896625
"FNN, high",IID,3,4400.0,264.5751311064591,2400.0,264.5751311064591,0.2716754783713628,0.01927287472591637,26.94393076499303,2.440099992320027
"FNN, high",OOD peak,3,4800.0,200.0,3033.3333333333335,585.9465277082315,0.27729446260757695,0.010037096318885413,21.255521366331312,6.071465473001282
"FNN, high",OOD peak-time,3,3800.0,754.983443527075,1800.0,754.983443527075,0.2553530722424604,0.03804579283166398,23.486355756388768,4.533957677679424
"Standard DeepONet, high",IID,3,5666.666666666667,550.7570547286102,133.66666666666666,152.31655633362163,0.14782236019770303,0.036538623275548465,15.938995978567336,5.604308438365673
"Standard DeepONet, high",OOD peak,3,5333.333333333333,321.4550253664318,233.33333333333334,57.735026918962575,0.22438264389832815,0.015972302307723327,15.713809417353735,2.3088568888707828
"Standard DeepONet, high",OOD peak-time,3,5933.333333333333,251.66114784235833,166.66666666666666,57.735026918962575,0.12110722064971924,0.026144328610395774,17.877984827094608,3.969631281823349
"Unbounded Shift, high",IID,3,6866.666666666667,404.14518843273805,600.3333333333334,953.6248388823213,0.10551588982343674,0.025765534381656702,62.713981258869175,20.92218237936019
"Unbounded Shift, high",OOD peak,3,6300.0,800.0,300.3333333333333,435.54601746926045,0.11454685032367706,0.0289969575210111,52.569528210163114,6.244720222418394
"Unbounded Shift, high",OOD peak-time,3,7233.333333333333,1115.0485789118488,1100.3333333333333,963.7947568509248,0.11143043885628383,0.03345513978251567,54.701087457603876,15.035894829207832
