scenario,group_type,group,n_seeds,n_samples_per_seed,gain_mean_percent,gain_sample_sd_percent
iid,depth,0-20 cm,3,112,-4.545567625632105,27.707038852847926
iid,depth,20-60 cm,3,112,-14.104887645884054,41.88572868044136
iid,depth,60-100 cm,3,112,-13.053299950653207,32.24886054173893
iid,intensity,High,3,28,-16.919241668938557,40.378655166946366
iid,intensity,Low,3,28,-17.322884496608843,40.49913102473247
iid,intensity,Mid,3,56,-6.678787866616115,29.692639102001692
iid,time,0-16 h,3,112,-16.43515266201294,23.970026371956738
iid,time,16-32 h,3,112,-10.41323687439552,32.907199348557214
iid,time,32-48 h,3,112,-11.223057904876294,50.23806612668888
ood_peak,depth,0-20 cm,3,75,-0.0005179173971126735,23.415737033182605
ood_peak,depth,20-60 cm,3,75,-11.108921057578371,13.599481048631429
ood_peak,depth,60-100 cm,3,75,-14.749073419235382,11.974753365822744
ood_peak,intensity,High,3,19,-3.956069130850676,18.893864283450466
ood_peak,intensity,Low,3,19,-4.644577803761548,15.909057303825335
ood_peak,intensity,Mid,3,37,-16.867529988940728,14.107549240187504
ood_peak,time,0-16 h,3,75,0.43021187332241934,29.351491753129583
ood_peak,time,16-32 h,3,75,-13.274517135506672,9.803060430099205
ood_peak,time,32-48 h,3,75,-17.43254214028174,10.685139120560386
ood_peak_time,depth,0-20 cm,3,76,0.0502327036846116,28.14922517745717
ood_peak_time,depth,20-60 cm,3,76,0.3766412569740882,20.043849582016676
ood_peak_time,depth,60-100 cm,3,76,5.187277294461441,17.859961642693612
ood_peak_time,intensity,High,3,19,-3.346047467768868,32.77364650800445
ood_peak_time,intensity,Low,3,19,3.4716300810430405,12.830809729803446
ood_peak_time,intensity,Mid,3,38,4.535854570862457,19.92211323178034
ood_peak_time,time,0-16 h,3,76,-4.832845491853931,37.052976528140924
ood_peak_time,time,16-32 h,3,76,5.671337974156192,18.087339561935302
ood_peak_time,time,32-48 h,3,76,3.095486706018255,11.878228812823613
