scenario,seed,group_type,group,model,n_samples,n_grid_cells_per_sample,c_mae
iid,42,depth,0-20 cm,regshift,112,1029,0.017530078068375587
iid,42,depth,20-60 cm,regshift,112,1960,0.019403794780373573
iid,42,depth,60-100 cm,regshift,112,1960,0.02161538414657116
iid,42,time,0-16 h,regshift,112,1616,0.01902681216597557
iid,42,time,16-32 h,regshift,112,1616,0.022152775898575783
iid,42,time,32-48 h,regshift,112,1717,0.018572987988591194
iid,42,intensity,Low,regshift,28,4949,0.02110595814883709
iid,42,intensity,Mid,regshift,56,4949,0.019281357526779175
iid,42,intensity,High,regshift,28,4949,0.019891677424311638
iid,123,depth,0-20 cm,regshift,112,1029,0.016269266605377197
iid,123,depth,20-60 cm,regshift,112,1960,0.019893139600753784
iid,123,depth,60-100 cm,regshift,112,1960,0.022749556228518486
iid,123,time,0-16 h,regshift,112,1616,0.01748449169099331
iid,123,time,16-32 h,regshift,112,1616,0.02179613709449768
iid,123,time,32-48 h,regshift,112,1717,0.02145792730152607
iid,123,intensity,Low,regshift,28,4949,0.019830377772450447
iid,123,intensity,Mid,regshift,56,4949,0.019891949370503426
iid,123,intensity,High,regshift,28,4949,0.02146938070654869
iid,456,depth,0-20 cm,regshift,112,1029,0.01856180652976036
iid,456,depth,20-60 cm,regshift,112,1960,0.024748070165514946
iid,456,depth,60-100 cm,regshift,112,1960,0.025849202647805214
iid,456,time,0-16 h,regshift,112,1616,0.017396027222275734
iid,456,time,16-32 h,regshift,112,1616,0.02683306112885475
iid,456,time,32-48 h,regshift,112,1717,0.027254827320575714
iid,456,intensity,Low,regshift,28,4949,0.024737555533647537
iid,456,intensity,Mid,regshift,56,4949,0.022247131913900375
iid,456,intensity,High,regshift,28,4949,0.02635982073843479
iid,42,depth,0-20 cm,shift,112,1029,0.016851767897605896
iid,42,depth,20-60 cm,shift,112,1960,0.019953936338424683
iid,42,depth,60-100 cm,shift,112,1960,0.021543188020586967
iid,42,time,0-16 h,shift,112,1616,0.014916717074811459
iid,42,time,16-32 h,shift,112,1616,0.022279977798461914
iid,42,time,32-48 h,shift,112,1717,0.022460678592324257
iid,42,intensity,Low,shift,28,4949,0.0192392710596323
iid,42,intensity,Mid,shift,56,4949,0.020042631775140762
iid,42,intensity,High,shift,28,4949,0.020428817719221115
iid,123,depth,0-20 cm,shift,112,1029,0.021100856363773346
iid,123,depth,20-60 cm,shift,112,1960,0.023887595161795616
iid,123,depth,60-100 cm,shift,112,1960,0.02553182654082775
iid,123,time,0-16 h,shift,112,1616,0.01966208592057228
iid,123,time,16-32 h,shift,112,1616,0.025823883712291718
iid,123,time,32-48 h,shift,112,1717,0.0262489914894104
iid,123,intensity,Low,shift,28,4949,0.024429086595773697
iid,123,intensity,Mid,shift,56,4949,0.02378140762448311
iid,123,intensity,High,shift,28,4949,0.02384551614522934
iid,456,depth,0-20 cm,shift,112,1029,0.01400794368237257
iid,456,depth,20-60 cm,shift,112,1960,0.01529607456177473
iid,456,depth,60-100 cm,shift,112,1960,0.017264794558286667
iid,456,time,0-16 h,shift,112,1616,0.013096761889755726
iid,456,time,16-32 h,shift,112,1616,0.018203306943178177
iid,456,time,32-48 h,shift,112,1717,0.016105158254504204
iid,456,intensity,Low,shift,28,4949,0.015356271527707577
iid,456,intensity,Mid,shift,56,4949,0.01586930826306343
iid,456,intensity,High,shift,28,4949,0.01613684557378292
iid,42,depth,0-20 cm,fnn,112,1029,0.02775069698691368
iid,42,depth,20-60 cm,fnn,112,1960,0.042157188057899475
iid,42,depth,60-100 cm,fnn,112,1960,0.04573649913072586
iid,42,time,0-16 h,fnn,112,1616,0.025460192933678627
iid,42,time,16-32 h,fnn,112,1616,0.04935314506292343
iid,42,time,32-48 h,fnn,112,1717,0.04655139520764351
iid,42,intensity,Low,fnn,28,4949,0.04252156242728233
iid,42,intensity,Mid,fnn,56,4949,0.036618009209632874
iid,42,intensity,High,fnn,28,4949,0.04655973240733147
iid,123,depth,0-20 cm,fnn,112,1029,0.027755212038755417
iid,123,depth,20-60 cm,fnn,112,1960,0.043177440762519836
iid,123,depth,60-100 cm,fnn,112,1960,0.04508543014526367
iid,123,time,0-16 h,fnn,112,1616,0.026577267795801163
iid,123,time,16-32 h,fnn,112,1616,0.04882577806711197
iid,123,time,32-48 h,fnn,112,1717,0.04642051085829735
iid,123,intensity,Low,fnn,28,4949,0.042180322110652924
iid,123,intensity,Mid,fnn,56,4949,0.03469834849238396
iid,123,intensity,High,fnn,28,4949,0.051328886300325394
iid,456,depth,0-20 cm,fnn,112,1029,0.02591307833790779
iid,456,depth,20-60 cm,fnn,112,1960,0.040326476097106934
iid,456,depth,60-100 cm,fnn,112,1960,0.04488886147737503
iid,456,time,0-16 h,fnn,112,1616,0.024907002225518227
iid,456,time,16-32 h,fnn,112,1616,0.04700266197323799
iid,456,time,32-48 h,fnn,112,1717,0.0451255664229393
iid,456,intensity,Low,fnn,28,4949,0.04502759128808975
iid,456,intensity,Mid,fnn,56,4949,0.033161524683237076
iid,456,intensity,High,fnn,28,4949,0.04519542679190636
ood_peak,42,depth,0-20 cm,regshift,75,1029,0.020687708631157875
ood_peak,42,depth,20-60 cm,regshift,75,1960,0.023290487006306648
ood_peak,42,depth,60-100 cm,regshift,75,1960,0.02453627437353134
ood_peak,42,time,0-16 h,regshift,75,1616,0.022344550117850304
ood_peak,42,time,16-32 h,regshift,75,1616,0.024584854021668434
ood_peak,42,time,32-48 h,regshift,75,1717,0.022824805229902267
ood_peak,42,intensity,Low,regshift,19,4949,0.02398734912276268
ood_peak,42,intensity,Mid,regshift,37,4949,0.023752570152282715
ood_peak,42,intensity,High,regshift,19,4949,0.02150513231754303
ood_peak,123,depth,0-20 cm,regshift,75,1029,0.023636410012841225
ood_peak,123,depth,20-60 cm,regshift,75,1960,0.02761940099298954
ood_peak,123,depth,60-100 cm,regshift,75,1960,0.03162511810660362
ood_peak,123,time,0-16 h,regshift,75,1616,0.021103208884596825
ood_peak,123,time,16-32 h,regshift,75,1616,0.031414322555065155
ood_peak,123,time,32-48 h,regshift,75,1717,0.03236621618270874
ood_peak,123,intensity,Low,regshift,19,4949,0.02760271169245243
ood_peak,123,intensity,Mid,regshift,37,4949,0.03012377955019474
ood_peak,123,intensity,High,regshift,19,4949,0.025752339512109756
ood_peak,456,depth,0-20 cm,regshift,75,1029,0.0175990778952837
ood_peak,456,depth,20-60 cm,regshift,75,1960,0.019838416948914528
ood_peak,456,depth,60-100 cm,regshift,75,1960,0.020328255370259285
ood_peak,456,time,0-16 h,regshift,75,1616,0.016562672331929207
ood_peak,456,time,16-32 h,regshift,75,1616,0.02236388996243477
ood_peak,456,time,32-48 h,regshift,75,1717,0.01976168155670166
ood_peak,456,intensity,Low,regshift,19,4949,0.022058643400669098
ood_peak,456,intensity,Mid,regshift,37,4949,0.019641516730189323
ood_peak,456,intensity,High,regshift,19,4949,0.01692948304116726
ood_peak,42,depth,0-20 cm,shift,75,1029,0.0164610855281353
ood_peak,42,depth,20-60 cm,shift,75,1960,0.018366439267992973
ood_peak,42,depth,60-100 cm,shift,75,1960,0.019169244915246964
ood_peak,42,time,0-16 h,shift,75,1616,0.016897695139050484
ood_peak,42,time,16-32 h,shift,75,1616,0.01973801478743553
ood_peak,42,time,32-48 h,shift,75,1717,0.01823243498802185
ood_peak,42,intensity,Low,shift,19,4949,0.020022528246045113
ood_peak,42,intensity,Mid,shift,37,4949,0.017837952822446823
ood_peak,42,intensity,High,shift,19,4949,0.01743074506521225
ood_peak,123,depth,0-20 cm,shift,75,1029,0.029610710218548775
ood_peak,123,depth,20-60 cm,shift,75,1960,0.02668875642120838
ood_peak,123,depth,60-100 cm,shift,75,1960,0.028350327163934708
ood_peak,123,time,0-16 h,shift,75,1616,0.02798490785062313
ood_peak,123,time,16-32 h,shift,75,1616,0.029406294226646423
ood_peak,123,time,32-48 h,shift,75,1717,0.026559017598628998
ood_peak,123,intensity,Low,shift,19,4949,0.03133910894393921
ood_peak,123,intensity,Mid,shift,37,4949,0.027714498341083527
ood_peak,123,intensity,High,shift,19,4949,0.025036625564098358
ood_peak,456,depth,0-20 cm,shift,75,1029,0.018623117357492447
ood_peak,456,depth,20-60 cm,shift,75,1960,0.01925504580140114
ood_peak,456,depth,60-100 cm,shift,75,1960,0.019416099414229393
ood_peak,456,time,0-16 h,shift,75,1616,0.018187586218118668
ood_peak,456,time,16-32 h,shift,75,1616,0.020623451098799706
ood_peak,456,time,32-48 h,shift,75,1717,0.01877693459391594
ood_peak,456,intensity,Low,shift,19,4949,0.020799364894628525
ood_peak,456,intensity,Mid,shift,37,4949,0.018060851842164993
ood_peak,456,intensity,High,shift,19,4949,0.019769391044974327
ood_peak,42,depth,0-20 cm,fnn,75,1029,0.026532473042607307
ood_peak,42,depth,20-60 cm,fnn,75,1960,0.04424066096544266
ood_peak,42,depth,60-100 cm,fnn,75,1960,0.04628683999180794
ood_peak,42,time,0-16 h,fnn,75,1616,0.02425847202539444
ood_peak,42,time,16-32 h,fnn,75,1616,0.046683985739946365
ood_peak,42,time,32-48 h,fnn,75,1717,0.05247105658054352
ood_peak,42,intensity,Low,fnn,19,4949,0.04665180295705795
ood_peak,42,intensity,Mid,fnn,37,4949,0.042823921889066696
ood_peak,42,intensity,High,fnn,19,4949,0.03325343877077103
ood_peak,123,depth,0-20 cm,fnn,75,1029,0.026406195014715195
ood_peak,123,depth,20-60 cm,fnn,75,1960,0.046753060072660446
ood_peak,123,depth,60-100 cm,fnn,75,1960,0.05156884714961052
ood_peak,123,time,0-16 h,fnn,75,1616,0.027303623035550117
ood_peak,123,time,16-32 h,fnn,75,1616,0.052763987332582474
ood_peak,123,time,32-48 h,fnn,75,1717,0.05270451679825783
ood_peak,123,intensity,Low,fnn,19,4949,0.05454177036881447
ood_peak,123,intensity,Mid,fnn,37,4949,0.04490349069237709
ood_peak,123,intensity,High,fnn,19,4949,0.03339525684714317
ood_peak,456,depth,0-20 cm,fnn,75,1029,0.025408480316400528
ood_peak,456,depth,20-60 cm,fnn,75,1960,0.04361782968044281
ood_peak,456,depth,60-100 cm,fnn,75,1960,0.04549171403050423
ood_peak,456,time,0-16 h,fnn,75,1616,0.025157306343317032
ood_peak,456,time,16-32 h,fnn,75,1616,0.04646758362650871
ood_peak,456,time,32-48 h,fnn,75,1717,0.04953652247786522
ood_peak,456,intensity,Low,fnn,19,4949,0.04100382700562477
ood_peak,456,intensity,Mid,fnn,37,4949,0.046413056552410126
ood_peak,456,intensity,High,fnn,19,4949,0.028772825375199318
ood_peak_time,42,depth,0-20 cm,regshift,76,1029,0.01843087561428547
ood_peak_time,42,depth,20-60 cm,regshift,76,1960,0.020804395899176598
ood_peak_time,42,depth,60-100 cm,regshift,76,1960,0.02038523368537426
ood_peak_time,42,time,0-16 h,regshift,76,1616,0.016589386388659477
ood_peak_time,42,time,16-32 h,regshift,76,1616,0.02267426811158657
ood_peak_time,42,time,32-48 h,regshift,76,1717,0.021110648289322853
ood_peak_time,42,intensity,Low,regshift,19,4949,0.02300287038087845
ood_peak_time,42,intensity,Mid,regshift,38,4949,0.017451005056500435
ood_peak_time,42,intensity,High,regshift,19,4949,0.022674672305583954
ood_peak_time,123,depth,0-20 cm,regshift,76,1029,0.020855700597167015
